vi,nom,explain
chọc giận,擉𢚷,Make angry
hai chiều,𠄩朝,Two-way
hiểu nhầm,曉𡍚,Misunderstanding
hơn nửa,欣姅,more than half
không giỏi,空𠐞,not good at
không nhất thiết,空一切,Not necessarily
Kết Đan,結丹,Knitting
liều mạng,料命,risking their lives
làm xong,𫜵歱,done
người khác,𠊛恪,others
nhân vật quan trọng,人物關重,Key Figures
những chuyện,仍𡀯,Stories
suối nước nóng,𤂬著燶,Hot Springs
theo thời gian,蹺時間,over time
trong tương lai,沖將來,in the future
trường trung học,場中學,
tắc đường,塞塘,Traffic jams
tời,塎,
vang vọng,𤾔朢,Echo
vẻ mặt,𨤔𩈘,facial expressions
yếu nhất,覅一,weakest
đi ngủ,呧𥄬,go to bed
đồ uống,徒𠴝,Drinks
