vi,nom,explain
chuyện gì,傳之,what's going on
chưa tính thuế,𣗓併稅,excluding tax
chạy thoát,𧼋脫,Escape
chịu ảnh hưởng của,𠹾影響𧵑,influenced by
Cảnh sát hình sự Công an,警察刑事公安,Criminal Police|Police
gần đó,近妬,Nearby
không tìm được,空尋得,couldn't find
kẻ địch,仉敵,Enemies
lựa chọn sai,攄譔差,Wrong choice
mật tàng,密藏,Secret Treasure
Mỗi ngày,每𣈜,Everyday
một số người,𠬠數𠊛,Some people
nhà giàu,茹𢀭,Rich
nhà người chị,茹𠊛姉,sister's house
nhát gan,㦉肝,cowardice
phong ấn,封印,seal
Phó Chủ nhiệm,副主任,Deputy Chairman
thời gian hoạt động,時間活動,Uptime
trong hoàn cảnh,沖環境,in the circumstances
trên không,連空,
từ sau,自𢖖,from behind
việc làm,役𫜵,Jobs
