vi,nom,explain
căn nhà,根茹,House
cấp sáu,級𦒹,level six
cởi trần,𢶒陳,Take off your clothes
của anh,𧵑英,Yours
hay không,咍空,or not.
hiển nhiên là,顯然𱺵,Obviously
hoàn toàn khác nhau,完全恪僥,
hò hét,㗅𠿒,shouting
ma khí,魔氣,demonic energy
mấy ngày sau,𠇍𣈜𢖖,A few days later
mức lương,𣞪粮,
người hầu,𠊛侯,Servant
người quân tử,𠊛君子,
nhìn rõ chưa,𥆾𤑟𣗓,can you see clearly
nêu tên,𪲍𠸜,Name
phá vỡ,破𥒮,Break
sự phát triển,事發展,Development
tháng trước,𣎃𠓀,last month
thủy triều,水潮,Tide
Trên xe,𨑗車,In the car
từ đó,自妬,from there
vuốt râu,𤢇𩯁,Stroking the beard
vùng bụng,漨䏾,Abdomen
xin được phép,吀得法,Please allow me
đánh tan,打散,Dissolve
đặt ra,撻𤄷,set
