vi,nom,explain
biết về,別𧗱,know about
Câu trả lời,句㨋𠳒,Answer
có thái độ,固態度,Have an attitude
cơn bão,𩂀𩙕,Storm
diều sáo,𠺧套,Kite flute
giữ vững,𡨺凭,Hold on
hết cách,歇格,Running out of ways
khỏe mạnh,劸猛,Healthy
lo ngại,嚧懝,Concerns
mua được,𧷸得,can buy
món đồ,𦁺徒,
một lượt,𠬠𦀎,One turn
ngay sau khi,𠵨𢖖欺,immediately after
nâng cao,㨢高,Advanced
phong tỏa,封鎖,Blockade
pin năng lượng mặt trời,pin能量𩈘𡗶,solar battery
quan điểm trung lập,觀點中立,Neutral point of view
suy tính,推併,
sẽ không,仕空,will not
thanh đao,青刀,Thanh Dao
trượt tuyết,跌雪,Skiing
trẻ con,稚崑,infant
Tài khoản,財款,Account
tới gần,𬧐近,Come closer
yên lòng,安挵,Peace of mind
ông nội,翁內,grandfather
đem ra,𨑻𤄷,Bring out
đài khí tượng,臺氣象,Meteorological Station
Đối tác Chiến lược Toàn diện,對作戰略全面,Comprehensive Strategic Partnership
