vi,nom,explain
bùng lên,熢𨕭,flare-up
che chở,𩂏𨔾,shelter
Chu Nguyên Chương,朱元璋,Zhu Yuanzhang
con chim,崑𪀄,bird
cáo lui,𤞺𨆢,Fox Retreat
có khả năng,固可能,Capable
dư vị,餘味,
gấp đôi,扱對,Double
gần nhất,近一,Nearest
gửi đi,寄呧,Send
khoa học công nghệ,科學工藝,Science and Technology
khó tránh khỏi,𠸋𠬉𠺌,Inevitable
không người lái,空𠊛𬃻,Unmanned
không đạt được,空達得,failed to achieve
Kế đó,計妬,Next
mấy trăm,𠇍𤾓,several hundred
một cặp,𠬠笈,
nương nhờ,埌𱒥,rely on
nếu không được,裊空得,if not
nửa ngày,姅𣈜,
phía trên,𠌨𨑗,above
phóng loạt,倣唰,Launch series
sa sầm,砂涔,Slam
sao dám,哰噉,How dare
tháng chín,𣎃𠃩,September
tháng tới,𣎃𬧐,Next month
trước đã,𠓀㐌,Previous
tốn thời gian,损時間,time consuming
xem xét lại,䀡察吏,Review
