vi,nom,explain
a,丫|阿,"vnedict2.json's own recorded rendering(s) for the single-letter Vietnamese word ""a"""
Bộ quy tắc,部規則,Rules
chi phí cao,支費高,High costs
chìm vào,沈𠓨,sink in
chạy lũ,𧼋褸,Flood Run
có quá nhiều,固過饒,there are too many
cấp hai,級𠄩,second degree
dòng máu,𣳔𧖱,
ghé thăm,𥇚探,Visit
gây tranh luận,掑爭論,Controversial
không tiếc,空惜,No regrets
kể từ sau,計自𢖖,since
lát nữa,𣋩𡛤,a little more
mang nghĩa,忙義,carries meaning
mạng lưới,𦁸䋥,Network
mối quan hệ,媒關係,relationship
phát sóng trực tiếp,發㳥直接,Livestreaming
phía nam,𠌨南,South
thu hút,收唿,attract
thúc đẩy hợp tác,促𢩽合作,Fostering collaboration
thương nặng,傷𥘀,seriously injured
tiện tay,便𢬣,Hand Convenient
tầng một,層𠬠,First Floor
điện văn,電文,Telegram
ảnh hưởng trực tiếp,影響直接,Direct Impact
