vi,nom,explain
bọt nước,渤渃,Sponge
chia phần,𢺺份,Divide
chí linh,至靈,Chi Linh
chính vì,正爲,Because
có người,箇人,There are people
giá dầu,價油,Oil prices
gió mạnh,𩙍猛,strong winds
hoàn toàn không thể,完全空体,absolutely impossible
hạ phẩm,下品,low quality
nơi đó,坭妬,that place
phát lương,發糧,Payroll
phía tây nam,𠌨西南,Southwest
theo sau,蹺𢖖,followed by
trong người,𥪝𠊛,in person
trong thời kỳ,中時期,during the
trú tại,住在,Residence
từ đầu năm đến nay,自頭𠄼𦤾𫢩,from the beginning of the year to now
vô kể,無計,Countless
ít khi,𠃣崎,Seldom
đoán trúng,斷中,Guess Right
định kỳ,定期,Recurring
đủ loại,𨁥類,all kinds
