vi,nom,explain
chui vào,𨄺𠓨,Getting in
chân truyền,真傳,true tradition
chưa tốt,𣗓卒,not good
chỉ muốn,止㦖,just want
chợt thấy,眣𧡊,suddenly saw
có ảnh hưởng,固影響,influential
cười lớn,唭吝,LOL
cố hết sức,故歇飭,Do your best
gì đó,之妬,something
hoàn toàn không muốn,完全空㦖,Completely unwanted
không còn kịp,空𡀳及,no longer in time
Không hay,空咍,Not good
không nhỏ,空𡮈,not small
lệnh truy nã,令追拿,Wanted Warrant
một trong những,殳冲仍,one of the
mực nước,墨渃,Water Level
người bạn,𠊛伴,Friend
quay lại,𢮿吏,Back
thật tuyệt vời,實絕𡸏,It's amazing
truy hỏi,追𠳨,Inquiries
đây là,低𱺵,this is
