vi,nom,explain
chuyển tiền,轉錢,Transfer money
có nguy cơ,固危機,at risk
e rằng,㥋哴,I'm afraid that
giá thấp,價隰,Low price
hai ba,𠄩𠀧,two three
hội nhóm,會𡖡,Guilds
lĩnh vực du lịch,領域遊歷,Tourism sector
một phút,殳丿,one minute
ngày hôm nay,𣈜𣋚𫢩,Today
nhập viện,入院,Hospitalization
phòng chống thiên tai,防𢶢天災,Disaster prevention
sau lưng,𢖖𦡟,behind
trộm tiền,濫錢,money theft
tìm cách,尋格,Find a way
tỷ đồng,比銅,billion VND
vấn đề toàn cầu,問題全球,Global Issues
điều gì,條之,What
điện thoại cao cấp,電話高級,High-end phones
đoàn đại biểu,團代表,Delegation
đáng chú ý,當注意,Notable
đơn giản hóa,單簡化,Simplified
đường sắt,塘鉄,Railways
