vi,nom,explain
bé gái,𡮣𡛔,baby girl
chuyện vui,傳盃,fun story
chẳng phải,拯沛,Isn't it
cát sông,㵧瀧,Sand
giao lưu văn hóa,交流文化,Cultural exchange
giảm tốc,減速,SlowDown
giữa trời,𡧲𡗶,in the middle of the sky
không lừa,空驢,Don't cheat
không thể tránh,空體諍,unavoidable
luyện chế,鍊制,refining
môn chủ,門主,subject
nghe tiếng,𦖑㗂,Hearing
nhỏ cỏn con,𡮈𡥵𡥵,Small baby
phát triển mạnh,發展猛,Thrive
sư thúc,師叔,Master
theo kế hoạch,蹺計劃,Planned
thái sư,太師,
trắng nõn,𤽸𧀒,Whiteness
tăng lãi suất,增賚率,interest rate increases
xuống đất,𬺗𡐙,to the ground
ý kiến,意見,Opinion
đúng là,倲𱺵,That's true
đến lượt mình,𨀏畧𨉟,in turn
