vi,nom,explain
Chỉ số giá sản xuất,指數價產出,Producer Price Index
chỉ vì,只爲,just because
cá nược,亇𩺱,dugongs
có cảm giác như,固感覺如,feels like
dùng toàn lực,用全力,Use all your strength
hút máu,唿𧖱,Bloodsucking
hạn hán,焊熯,
hỏi một câu,𠳨沒句,Ask a Question
khá hơn,可欣,better
khơi mào,𢵱𦙤,Initiation
kinh hồn,驚魂,Terrifying
lông vũ,籠羽,
mua vào,𧷸𠓨,Buy
mất hết,𠅒歇,lost all
ngày hôm ấy,𣈜𣋚𧘇,That day
người lớn tuổi,𠊛𡘯歲,Elderly person
nhiều lắm,𡗉𡗋,A lot.
nhìn rõ,𥆾𤑟,Clear Visibility
Sắc mặt,色𩈘,Facial color
sắp tới,𢯛𬧐,Coming soon
thẩm mỹ,審美,Aesthetic
trục ngang,逐卬,Horizontal axis
tầm nhìn,尋𥆾,
ông ấy,翁𧘇,He
đang có,璫固,is available
điểm bất thường,點不常,Abnormal point
đáp lại,答徠,replied
đối xử với,對處貝,Treat
