vi,nom,explain
chạm vào,𪮻𠓨,touching on
chỉ cần,只懃,only need
cá thể hóa,個體化,Individualization
gần gấp đôi,近扱對,almost double
luyện thể,練体,bodybuilding
mang thai,茫胎,Pregnancy
mạng xã hội,𦁸社會,Social Media
mạnh yếu,猛覅,Strong & Weak
người lao động,𠊛勞動,Employees
nhân cơ hội,因機會,Take the opportunity
nhớ rõ,𢖵𤑟,Remember clearly
phân tầng,分層,Stratification
quang minh lỗi lạc,光明磊落,Brilliant Quang Minh
trong thực tế,沖實際,in practice
tập trận,習陣,Exercises
tốt đẹp,𡄰惵,nice
ánh mắt,映眜,eyes
áo đen,奧黰,black shirt
đánh lạc,打落,misdirect|lead astray
Đây chính là,低正𱺵,This is
đại diện pháp luật,代面法律,Legal representation
đừng quên,揨悁,Don't forget
