vi,nom,explain
chân lông,蹎胧,Hair Roots
có tên là,固𠸜𱺵,named as
Giang Tô,江蘇,Jiangsu
gặp được,﨤得,meet
hai phần,𠄩份,Two-part
hay là,咍𱺵,or
lông hồng,𣯡鴻,Pink Fur
mai hoa,梅花,Mai Hoa
màu nước,𦭷渃,Watercolor
ngày càng tăng,𣈜𪨈增,increasing
nóng ruột,𤎏𦛌,Intestinal Hotness|impatient; anxious
quá cao,過高,too high
thủy văn,水文,Hydrology
tiếng lòng,㗂挵,Heart Language
trong thời gian ngắn,沖時間𠦯,in a short time
trong túi,沖對,in the bag
trước nhà,𠓀茹,In front of the house
vé máy bay,𥿯𣛠𢒎,Flight Tickets
đám đông,𡌽佟,Crowd
để ý tới,抵意𬧐,Notice
