vi,nom,explain
ba lần,𠀧𠞺,three times
bậc nhất,堛一,First class
bữa cơm,𩛷𩚵,Meals
chẳng khác,拯恪,just like
chịu đầu hàng,𠹾投降,Surrender
cười hì hì,唭𠻑𠻑,laugh
danh bất hư truyền,名不虛傳,Immortal Name|you really deserve your reputation!
không chết,空𣩂,not dead
ngừng lại,凝吏,Stop
năm rồi,𠄼耒,years ago
phát ra,發𤄷,emitted
quẻ tượng,卦像,Statue
thương hội,商會,Chamber of Commerce
thấy rõ,𧡊𤑟,clearly visible
tiền lãi,錢賚,Interest
trên biển,𨑗㴜,at sea
từng giọt,层湥,Drop by drop
ví điện tử,幃電子,E-wallets
đã là,㐌𱺵,was already
đến lúc này,𦤾𣅶尼,up to this point
