vi,nom,explain
buổi hội thảo,𣇜會討,Seminar
bám vào,𢵉𠓨,clinging to
bị nứt,被㘿,cracked
Bộ trưởng Ngoại giao,部長外交,Minister of Foreign Affairs
cho tới,朱𬧐,
chưa đến,渚𦥃,not yet
có con,固崑,have children
cả ngày,哿𣈜,All day
dây leo,絏蹽,vines
dựa vào,澦𠓨,Relying on
dựng lên,𥩯𬨠,To set up
giá bán,價𧸝,
gào khóc,嚎哭,Wail
lo bò trắng răng,嚧虶𤽸𢳯,
mang theo,𦛿蹺,Carry
một lần,𠬠吝,Once
người sử dụng,𠊛使用,
phép tính,法併,Calculation
tùy cơ ứng biến,隨機應變,Depending on the improvisation
tạo ra,造𤄷,generate
vài tháng sau,吧倘𢖖,Several months later.
vương gia,王家,Royal Family
điều mới,條㵋,New thing
đoán đúng,斷倲,Guess Right
đầu lưỡi,头𦧜,tip of the tongue
