vi,nom,explain
bằng tiếng Việt,凭㗂越,in Vietnamese
chiếc xe,隻車,Car
chưa bao giờ,𣗓包𣇞,Never
chưa quen,𣗓慣,unfamiliar
gần sông,近瀧,Near the river
hoạt động chính thức,活動正式,Official Operation
hướng đến,向𦤾,Towards
láu cá,嗍𩵜,cunning
một bóng người,𠬠𡞗𠊛,A Silhouette
nhỏ giọt,㳶湥,Drip
nắm lấy tay,捻𥙩𢬣,Hold hands
quay chụp,𢮿𨄴,Shooting
quyền chủ động,権主動,Initiative
quét qua,𢭯戈,Scan Through
suốt thời gian,𣖠時間,all the time
sự ủng hộ,事擁護,Support
thường lệ,常例,usual
tiền ảo,錢幻,Virtual Currency
trường sam,長衫,
tốt hay xấu,卒咍醜,good or bad
với lý do,貝理由,with a reason
độ cao,度高,Altitude
