vi,nom,explain
ba tiếng,𠀧㗂,three hours
bãi đất,罷𡐙,Land
cấp thấp,級隰,Junior
ghen tị,慳巳,jealous
gia trang,家莊,家莊
giá trị,价值,value
hai phía,𠄩𱘃,Both sides
khai nhận,開認,confess
không phải,空沛,not
kỹ thuật,技術,techniques
lý thuyết,理说,theory
lược bỏ,略𠬃,Omit
Lần đầu tiên,吝頭先,For the first time
lợi ích lâu dài,利益𱍿𨱽,Long-term benefits
mà còn là,𣻕𡀳𱺵,but also
ngân nga,銀娥,hum
nhưng vì,扔為,but because
nói thêm,吶添,Talk More
quen với,慣唄,Accustomed to
rút ra,捽𤄷,Draw
sự phân biệt,事分別,Distinction
truy kích,追擊,
trùng với,重唄,coincides with
trời cao,𡗶高,sky high
tên là,𠸜𱺵,Name
tìm người,尋人,Find People
tầm tay,尋拪,Reach
tốt đen,卒黰,common soldier|cannon fodder
