vi,nom,explain
Ba mẹ con,爸媄崑,Parents of you(child)
bao xa,包賒,"""How far?"""
chứng chỉ,證指,Certificates
có đóng góp,固㨂𢵰,have contributed
dày cộp,𥹋𠺻,Thick
giành được,掙得,acquire
giật dây,𪮞絏,Cord Pulling
hoảng sợ,恍𢜝,panic
kho bạc,𤇌博,Treasury
không đúng,空倲,not true
khẩu ngữ,口语,oral language
kỳ nghỉ,期儗,holiday|vacation
long trời lở đất,隆𡗶𥖕𡐙,heaven and earth landslide
làm tăng,濫增,increase
lạnh lùng,冷𨓡,cold
mềm lòng,繌挵,soft-hearted
một nửa số,𠬠姅數,Half of the
nuôi cá,𩝺亇,fish farming
nêu trên,𪲍𨑗,mentioned above
phun ra,噴𤄷,Extrusion
quyết định số,決定數,Decision Number
sự xuất hiện,事出現,Appearance
thanh mai,青梅,
tiếng gọi,㗂噲,Call
tiểu tu,小修,Xiao Tu
tối nay,𣋁尼,tonight
từng người,曾𠊛,each person
đưa tiền,迻錢,Giving money： an
ủy quyền,委權,Authorization
