vi,nom,explain
bác bỏ,駁𠬃,Disclaimer
bốn phía,𦊚𱘃,Four Sides
cuối đường,𡳳塘,End of the Road
cấu trúc,構筑,Constructs
hóa ra,化𫥨,turns out
kỷ luật,紀律,discipline|to discipline
luyện đan,練丹,alchemy
lớn mạnh,𡘯猛,Thriving
mua xe,𧷸車,
nghe lời,𦖑利,Listen
người kia,𠊛其,the other
nới rộng,摕㢅,Expansion
rẻ hơn,𥜤欣,cheaper
thấp nhất,溼一,Lowest
thất vọng,失望,disappointment
trữ vật,貯物,Storage
tung bay,嵩𢒎,Flying
tờ giấy trắng,詞紙𤽸,White Paper
vào nhà,𠓨茹,Entering the house
vượt cấp,越級,Pass the level
vượt xa,越賒,far beyond
ăn mặc,咹纆,Dress Up
Đào Thị,桃氏,Dao Thi
đã thèm,㐌饞,Coveted
đúng chỗ,倲𡊲,In the right place
độ tuổi,度歲,Age
