vi,nom,explain
biết thế,別势,I know that
bà ta,婆些,She
chăm sóc sức khỏe,占朔飭劸,Healthcare
chẳng bao giờ,拯包𣇞,Never
cuộc họp đầu giờ,局合頭𣇞,meeting at the start of the hour|early-hour meeting
cách khác,格恪,Other ways
cả ba,哿𠀧,All three
cấp một,級𠬠,level one
do ảnh hưởng,由影響,due to the influence
hai lần,𠄩吝,twice
hết hạn,歇限,expired
lên cao,𬨠高,up high
lượt xem,𦀎䀡,Views
lời đồn,唎訰,Rumors
mưa to,𩄎𡚢,heavy rain
nghìn năm,𠦳𢆥,thousand years
người thuận tay trái,𠊛順𢬣債,Left-handed
nước sông,渃瀧,River water
theo báo cáo,蹺報告,according to the report
thò tay vào,𢲬𢬣𠓨,Reach in
tin từ,信自,News from
trẻ tuổi,𥘷歲,Youth
từng đến,曾𦤾,Ever Come
vài năm,吧𠄼,several years
vô ích,無益,futile
Vụ phóng,務放,Launch
đau đớn,𤴬疸,painful
đặt lại,撻吏,Reset
đến lượt,𨀏畧,turn
đứng lên,𨅸𬨠,Stand Up
